	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
15.tree	tree	bdct		0.295374	0.276401	0.315395	0.0421625	0.0318718	0.0555133	0.36348	0.305976	0.423154	18.688	15.0838	22.8909	0.30742	0.30742	0.30742
15.tree	tree	bd		0.307729	0.292752	0.322983	0.112169	0.0974044	0.12838	0			0.112169			0.30742	0.30742	0.30742
15.tree	tree	real	920	0.29224720138485055			0.04989129209374788			0.4044841089680346			18.568759654176752			0.3074199169651204		
16.tree	tree	bdct		0.892581	0.811607	0.977382	0.10572	0.0770859	0.141956	0.436595	0.364114	0.510872	41.6417	32.529	52.9023	0.696351	0.696351	0.696351
16.tree	tree	real	716	0.9227416432054583			0.09967592620059594			0.4816961586526157			42.85076553574014			0.6963508579565569		
16.tree	tree	bd		0.885509	0.825908	0.947443	0.261775	0.222048	0.305633	0			0.261775			0.696351	0.696351	0.696351
17.tree	tree	real	826	0.10748303662875539			0.08607379912510206			0.4122064901278984			25.25362369930718			0.3049234242428176		
17.tree	tree	bd		0.126834	0.117987	0.13637	0.11456	0.105688	0.124096	0			0.11456			0.304923	0.304923	0.304923
17.tree	tree	bdct		0.107871	0.0978518	0.11836	0.0842833	0.0745235	0.0947728	0.359044	0.296632	0.426019	27.3723	21.6722	34.071	0.304923	0.304923	0.304923
18.tree	tree	bdct		0.559683	0.521492	0.599715	0.12011	0.0903328	0.155392	0.0644087	0.0332112	0.106437	25.8127	11.9884	55.2931	0.279435	0.279435	0.279435
18.tree	tree	bd		0.558996	0.529025	0.589496	0.146831	0.120627	0.176391	0			0.146831			0.279435	0.279435	0.279435
18.tree	tree	real	623	0.5543539864677643			0.13066505710733858			0.0682053614816841			19.851695379540182			0.2794349183011833		
19.tree	tree	bdct		0.312065	0.292623	0.333039	0.0461737	0.0334686	0.0614318	0.571	0.506874	0.63468	19.1036	16.0657	22.5335	0.212778	0.212778	0.212778
19.tree	tree	bd		0.370956	0.352892	0.390022	0.19283	0.172598	0.21476	0			0.19283			0.212778	0.212778	0.212778
19.tree	tree	real	934	0.30565678066648694			0.05421621005875946			0.6257359243472699			19.190614756608298			0.2127776359063259		
20.tree	tree	real	924	0.5174547511973583			0.07655874208925847			0.5562179592769902			7.5308150133989935			0.6805998718367887		
20.tree	tree	bd		0.536643	0.504734	0.570004	0.189929	0.165574	0.216626	0			0.189929			0.6806	0.6806	0.6806
20.tree	tree	bdct		0.525261	0.482767	0.57006	0.0771057	0.0580793	0.0999921	0.473788	0.401609	0.547787	7.80843	6.27878	9.68129	0.6806	0.6806	0.6806
21.tree	tree	real	587	0.5313546200025985			0.07168509223692639			0.2567813857170115			20.555920205450327			0.430859839237855		
21.tree	tree	bd		0.531204	0.497548	0.565518	0.155012	0.127338	0.185524	0			0.155012			0.43086	0.43086	0.43086
21.tree	tree	bdct		0.538638	0.49296	0.587249	0.0728662	0.0509695	0.101474	0.261003	0.196262	0.333171	20.0032	13.8117	28.5282	0.43086	0.43086	0.43086
22.tree	tree	real	964	0.26368069756311313			0.0733726326676354			0.275732438375851			19.369141927795965			0.1144682995865193		
22.tree	tree	bdct		0.260434	0.247766	0.273782	0.0696577	0.0546388	0.0868227	0.253722	0.206149	0.305466	19.1872	14.8667	24.5048	0.114468	0.114468	0.114468
22.tree	tree	bd		0.293469	0.280331	0.306817	0.142276	0.126272	0.159439	0			0.142276			0.114468	0.114468	0.114468
23.tree	tree	bdct		0.112253	0.100954	0.123696	0.0588938	0.0489433	0.0693836	0.410092	0.329195	0.493624	2.43421	1.81402	3.22676	0.673341	0.673341	0.673341
23.tree	tree	real	786	0.11764717284257634			0.0615090735641631			0.4624882157341891			2.22106514426757			0.6733406247261431		
23.tree	tree	bd		0.121152	0.111765	0.130688	0.087971	0.079138	0.0975069	0			0.087971			0.673341	0.673341	0.673341
24.tree	tree	real	987	0.31854546905184267			0.048352280974209405			0.6295373832004876			15.71940439434254			0.2778350576830717		
24.tree	tree	bd		0.353614	0.336396	0.371727	0.172407	0.153659	0.19243	0			0.172407			0.277835	0.277835	0.277835
24.tree	tree	bdct		0.316961	0.296596	0.338888	0.0400164	0.029043	0.0543209	0.57834	0.515649	0.640107	15.385	12.9972	18.0653	0.277835	0.277835	0.277835
25.tree	tree	real	523	1.2496439282096272			0.1458251264476028			0.4813568822988866			10.06479191523083			0.2235649170107676		
25.tree	tree	bd		1.31117	1.23696	1.38832	0.421734	0.346133	0.505622	0			0.421734			0.223565	0.223565	0.223565
25.tree	tree	bdct		1.29558	1.18875	1.41082	0.126132	0.0811629	0.188113	0.366857	0.285891	0.452801	11.7671	8.56559	16.0473	0.223565	0.223565	0.223565
26.tree	tree	bdct		0.160645	0.148797	0.173995	0.0706111	0.0586467	0.0839616	0.394353	0.331195	0.460004	27.0552	21.7291	33.3134	0.307794	0.307794	0.307794
26.tree	tree	bd		0.187781	0.176837	0.199223	0.121846	0.109573	0.134243	0			0.121846			0.307794	0.307794	0.307794
26.tree	tree	real	835	0.1507670534090856			0.07423771502704131			0.4370079846985676			25.842842153305142			0.30779379268733		
27.tree	tree	real	882	0.22638646166640977			0.048813031885847825			0.2963913669373961			10.245874822218134			0.2825714625226751		
27.tree	tree	bdct		0.231846	0.217418	0.247101	0.0414323	0.0313242	0.0528759	0.258198	0.20676	0.314703	11.4773	8.61801	15.0721	0.282571	0.282571	0.282571
27.tree	tree	bd		0.239657	0.227538	0.252052	0.0828207	0.0713147	0.0952175	0			0.0828207			0.282571	0.282571	0.282571
28.tree	tree	real	882	0.4012926655991707			0.07718839655049543			0.5949551239662139			18.400884785798574			0.1828522234143191		
28.tree	tree	bdct		0.416148	0.390201	0.443793	0.0616381	0.0445837	0.0835713	0.573416	0.506779	0.639236	19.3882	16.2306	22.9448	0.182852	0.182852	0.182852
28.tree	tree	bd		0.494899	0.469818	0.520636	0.265393	0.236475	0.295902	0			0.265393			0.182852	0.182852	0.182852
29.tree	tree	bd		0.367121	0.353535	0.381421	0.135455	0.117072	0.155479	0			0.135455			0.068588	0.068588	0.068588
29.tree	tree	bdct		0.343064	0.329034	0.357364	0.0661979	0.0498984	0.0852701	0.176097	0.135512	0.221959	5.30332	3.89878	7.15756	0.068588	0.068588	0.068588
29.tree	tree	real	997	0.33252661353328195			0.06968949914394637			0.2098639681765229			4.295629994521586			0.0685879636474903		
30.tree	tree	bd		0.247903	0.236329	0.260298	0.0954321	0.0814149	0.110689	0			0.0954321			0.151165	0.151165	0.151165
30.tree	tree	bdct		0.23341	0.219792	0.247712	0.0524888	0.0388121	0.0687004	0.192319	0.142737	0.24832	10.0432	7.05948	14.1046	0.151165	0.151165	0.151165
30.tree	tree	real	731	0.24066838010095978			0.06053904040016318			0.186159131079674			10.490163977217152			0.1511653805547074		
31.tree	tree	bd		0.715795	0.671819	0.761539	0.188161	0.160379	0.219626	0			0.188161			0.713816	0.713816	0.713816
