	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
71	BDPN(p)		0.10680368793506896	0.0985377748151417	0.11538584007931853	0.05524913881170791	0.04846799646024442	0.06287811182548039	9.514332891486593	8.373940691847942	10.765087208989012	1.9331285560678475	1.7835169368153199	2.0884640477847047	18.099829635499926	15.903785450420687	20.632171185789453	0.7040170000710573	0.7040170000710573	0.7040170000710573	0.8189095375340997	0.7693271241287147	0.8627673839125598	0.10510458393722992	0.09289288424574813	0.11941808961860732
71	real	580.0	0.10996240145815478			0.05806439166361091			9.478109128756213			1.8938009734986767			17.222259139359974			0.7040170000710573			0.8998847795171852			0.1055062762430155		
72	real	690.0	0.41908446617966644			0.0906523393720197			43.49111834226854			4.6229856734289525			11.0311549258116			0.3973939424395677			0.4739106693501928			0.022993200407728096		
72	BD(p)		0.4451541923868321	0.423466975961694	0.4670789374254132	0.17329033177825987	0.15310005852299505	0.19522104001721352				2.5688345553890795	2.4436849512386933	2.695354856975411	5.7706623891723385	5.122398691820439	6.531676144655449	0.3973939424395677	0.3973939424395677	0.3973939424395677						
72	BDPN(p)		0.42292799144796794	0.4015019606322509	0.4458064949882028	0.06830649703261389	0.05621236084706609	0.0826106346464297	46.79808226009705	40.56856343628896	53.68768423185318	6.191621731766381	5.877946872909441	6.5265606399834315	14.639895814340123	12.104979029394471	17.789681574140705	0.3973939424395677	0.3973939424395677	0.3973939424395677	0.4118046994379318	0.3675678664904977	0.4571830478211382	0.021368396987768497	0.018626245745326724	0.024649628069045467
73	real	533.0	0.3559802640378465			0.10312911525239271			12.113333138027725			3.451792087681925			9.696582750202532			0.6055059445895916			0.8838998188477808			0.08255366120994989		
73	BDPN(p)		0.3399729385660609	0.3161389038231347	0.36571339107561546	0.09186455150737012	0.07482744809973822	0.11093628565822793	12.398214104504838	10.883368972838657	14.046634623850313	3.700806600452248	3.441359029524805	3.981006656809019	10.885591706391466	9.014183177908047	13.364079965243375	0.6055059445895916	0.6055059445895916	0.6055059445895916	0.8323277244023762	0.7778687814971426	0.8807954915673144	0.0806567777883957	0.07119142960421722	0.0918833131997706
73	BD(p)		0.40028653081932336	0.37299155312659615	0.4288853080220015	0.2489696488018075	0.22378523134537395	0.275665881454313				1.607772404169521	1.4981406565886928	1.7226409326841918	4.016553844264169	3.627579861259448	4.468570128547368	0.6055059445895916	0.6055059445895916	0.6055059445895916						
74	BD(p)		0.5382120016804705	0.516702536769436	0.5610878665791136	0.2809498641369916	0.25361101021736354	0.3095520555890903				1.9156869975136823	1.8391271992838236	1.99711029689456	3.559353919147647	3.230474428919424	3.9430464755568986	0.10768758079367027	0.10768758079367027	0.10768758079367027						
74	BDPN(p)		0.4532232290380376	0.4373247561421691	0.4694283445519406	0.09998343214725976	0.0829706547469495	0.11905501144275865	28.446002981419703	24.566586528661993	32.7709419872064	4.532983308379649	4.373972234700434	4.695061316364367	10.001657059813256	8.399478424986734	12.052454003766508	0.10768758079367027	0.10768758079367027	0.10768758079367027	0.36345813155635104	0.32370489841737515	0.4038636212524812	0.035154323813197164	0.030514838431876468	0.04070569587815115
74	real	778.0	0.4547010317341261			0.11403691360420892			29.000511899429466			3.9873144349755867			8.769090362009688			0.10768758079367027			0.4182385255454079			0.03448214995196941		
75	BDPN(p)		0.3269835346534459	0.3104296832843256	0.3441440593043784	0.15590057597897633	0.14137864698094732	0.17115698618747274	39.5793304836223	25.239915825981804	63.20418646347496	2.097385032737407	1.9912029274746743	2.207458549420544	6.414344486673692	5.84258943952585	7.073203919788281	0.5605520039894983	0.5605520039894983	0.5605520039894983	0.056137459858532884	0.037717355842451776	0.07825923814309851	0.025265712880459014	0.015821736754382396	0.039619783476877
75	real	877.0	0.31759667877811465			0.16114612943179696			41.20694920911227			1.9708613535923205			6.205547744311397			0.5605520039894983			0.05593253612858506			0.02426775141555167		
75	BD(p)		0.3319291563602788	0.3151241601388584	0.3490895961139881	0.16735059648889047	0.15240503508559172	0.18356034670237967				1.983435752990064	1.8830178484591047	2.0859776029370907	5.975479149644888	5.4477996907544295	6.561463008347415	0.5605520039894983	0.5605520039894983	0.5605520039894983						
76	real	526.0	0.08959211897892053			0.07495721496233897			15.87183086430539			1.1952434335231723			13.340943903831455			0.2298576943562249			0.10026543467861028			0.06300470365072554		
76	BDPN(p)		0.09083522231387764	0.08451868324493314	0.09751033613819156	0.07500510329229243	0.06864528972811104	0.0816803227940519	18.50755679890565	12.316490037748306	27.459263708819257	1.2110538926917518	1.1268391020750497	1.3000493547511962	13.332426143098994	12.242850735560776	14.567641916303087	0.2298576943562249	0.2298576943562249	0.2298576943562249	0.08625000079171316	0.06064453180667331	0.11748169021777766	0.054031983306361116	0.03641758244518493	0.08119196272112761
76	BD(p)		0.09479204432699087	0.08819729121024934	0.10146713173666813	0.08077400243368472	0.07454165849355311	0.08744918342388759				1.1735464564209872	1.0919019554919187	1.2561855136493008	12.38022098534733	11.435212552560447	13.415317289814356	0.2298576943562249	0.2298576943562249	0.2298576943562249						
77	BD(p)		0.41766455764915295	0.3973196085451903	0.43863662965893735	0.1845276750579793	0.16660505054059851	0.2035976418000169				2.2634250256386808	2.1531708369508857	2.37707774468581	5.419241312642107	4.911648244836973	6.002219000895888	0.5221658559215578	0.5221658559215578	0.5221658559215578						
77	real	851.0	0.4193986469979094			0.13119621625564132			62.99231410598536			3.1967282210387347			7.622171039227672			0.5221658559215578			0.2127950532313718			0.01587495259052537		
