	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	pn	pn_min	pn_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	type_max
75	BDPN(psi)		0.7503840504284883	0.7084415959458881	0.7935947712281382	0.1618290459409095	0.1618290459409095	0.1618290459409095	61.89491929580953	27.6575785622938	124.41632166850708	4.636893495018715	4.37771595220656	4.903908112502326	6.179360412006266	6.179360412006266	6.179360412006266	0.6783776745840894	0.5886201714394326	0.7804154949888686	0.0308901976740274	0.0152153576828626	0.0519179185741057	0.0161564149590498	0.008037530659879	0.0361564551917543	BDPN(psi)
75	BDPN(lambda)		0.7060682608659067	0.7060682608659067	0.7060682608659067	0.1157708735319642	0.0990988350184098	0.1348719505780625	61.33411487535489	27.240404931062	123.11053995028578	6.098841956746244	6.098841956746244	6.098841956746244	8.63775118466132	7.414440109407406	10.090935981378866	0.999999	0.8745448714294433	0.999999	0.0319490352051486	0.0159002679259162	0.0534264620974171	0.0163041400700447	0.0081227813670853	0.036710173821965	BDPN(lambda)
75	real	531.0	0.7060682608659067			0.16182904594090958			38.546690771843366			4.363050259368897			6.179360412006266			0.6194340122258544			0.0324410342009438			0.0259425641988042			
76	BDPN(p)		0.7774479039238815	0.7318107376959337	0.824886094070836	0.169640620862862	0.1436610720922404	0.1986929558985037	24.18708258878673	21.82460688547682	26.73872830955274	4.582911215305989	4.31388858384061	4.86255054877261	5.894814549213439	5.032891052820309	6.960827908606516	0.851888457083314	0.851888457083314	0.851888457083314	0.8972265965858303	0.8603305492593446	0.9284146086570736	0.041344382743523	0.0373989364199769	0.0458198402036487	BDPN(p)
76	BDPN(psi)		0.7576246909667145	0.7121366953244894	0.8048851437622031	0.1674202698377736	0.1674202698377736	0.1674202698377736	24.196129663713048	21.831108902211803	26.74987078648405	4.525286524151677	4.253587071712006	4.80757284970403	5.972992403900536	5.972992403900536	5.972992403900536	0.999999	0.9541769938659668	0.999999	0.9033172136963308	0.8672718879905053	0.9334830640127588	0.0413289238361001	0.0373833581471082	0.0458061935598097	BDPN(psi)
76	real	802.0	0.7699299586745091			0.16742026983777364			22.382249888017117			4.598785794698296			5.972992403900536			0.851888457083314			0.8917675995506609			0.0446782608988462			
76	BDPN(lambda)		0.7699299586745091	0.7699299586745091	0.7699299586745091	0.1547016268895975	0.1306482228768455	0.1816685561771404	24.178009795902803	21.816051403290075	26.72907347728425	4.976870470948362	4.976870470948362	4.976870470948362	6.464056132477829	5.504529903484922	7.654141617698401	0.999999	0.958201281829834	0.999999	0.9013005592267926	0.8650060939332563	0.9318064737821834	0.0413598972140982	0.0374124453228748	0.0458378091210946	BDPN(lambda)
77	BDPN(lambda)		0.5378488778865151	0.5378488778865151	0.5378488778865151	0.1120067761237153	0.0894314234598836	0.1386470681108408	16.21021328090921	12.846732271889977	20.24347313986282	4.801931601820611	4.801931601820611	4.801931601820611	8.928031272817506	7.212557853733728	11.181752020849489	0.1529258976499052	0.1283343766191711	0.1820595459149369	0.2482630430850787	0.2061570927550391	0.2935488944934666	0.0616895029492117	0.0493986379259609	0.0778408064273361	BDPN(lambda)
77	BDPN(p)		0.5252643069887104	0.502001358308242	0.5490042816170198	0.1130708542865106	0.0911546545102667	0.1386681545816301	16.181115393744	12.82478332098624	20.201337064991968	4.645443870599416	4.439706071701016	4.855400492737908	8.844012069335717	7.211461081436168	10.970366849312894	0.1536067697807372	0.1536067697807372	0.1536067697807372	0.2494479176865778	0.2072615097883808	0.2948456302459408	0.061800436846685	0.0495016739131072	0.0779740269267254	BDPN(p)
77	BDPN(psi)		0.5155176450290756	0.4923103366992118	0.539257851164495	0.116913857706744	0.116913857706744	0.116913857706744	16.322626038937518	12.933577468108329	20.39919123733774	4.409380163659921	4.210880954198585	4.612437411116138	8.553305994814645	8.553305994814645	8.553305994814645	0.1683769625283574	0.1418565404871211	0.1996693811136399	0.2488318573722738	0.2065080330969062	0.2943585280649821	0.0612646517548405	0.0490215513137425	0.077318128140942	BDPN(psi)
