	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
17	BDPN(lambda)	0.3193658153976499	0.05	19.85016187501797	0.390210588416972	0.3149928954587879	6.387316307952999	20.0	0.0503774229296603	0.0	-0.24175927370659597	-0.08510681777816094	0.09966288003064638	-0.06262728514116078	0.31884237462212806	0.3188423746221281	0.09302377526901666
17	BDPN(psi)	0.3108232770973281	0.0659421187311064	19.98750835765266	0.3356622471498646	0.3148526616374686	4.713577347503481	15.16481452586808	0.0500312486231995	-0.026748442971848117	0.0	-0.07877652378077182	0.04511453876353899	-0.06276751896248006	-0.026748442971848203	0.0	0.0855129355843979
18	BDPN(p)	0.2461939967044795	0.1112326815873476	70.93116727318548	0.2890787472980818	0.7511624634809801	2.213324296341366	8.990163553817862	0.0140981748706965	-0.079256420573313	-0.22768017412800007	0.0037302975116956082	0.0	-0.10387265003250346	0.19217913173095966	0.2948003747941267	-0.003716434106801033
18	BDPN(lambda)	0.2673860586220709	0.0983168582535805	70.9550839848024	0.4030590822512336	0.7617672018696288	2.7196359136336943	10.171195639925584	0.0140934228224461	0.0	-0.3173583719901576	0.0040687372835140475	0.1139803349531518	-0.09326791164385484	0.4648974790995049	0.464897479099505	-0.0040522497439049576
18	BDPN(psi)	0.2571283171521955	0.1440241178086534	71.1483330685916	0.281117857808783	0.7472190399932436	1.7853143005799157	6.94328155044541	0.014055143063379	-0.0383630377841573	0.0	0.006803359704410277	-0.007960889489298795	-0.10781607352024003	-0.0383630377841571	0.0	-0.0067573867715476224
19	BDPN(p)	0.4111524786159827	0.0701227118651171	38.548450649195374	0.2227113909646919	0.6565393226631256	5.863328266694034	14.260714872572605	0.0259413798261402	0.0191575236568133	-0.24291375812674035	-0.0481190799208108	0.0	-0.07043940136544136	0.34615776550780963	0.32085348364764577	0.05055157520838378
19	BDPN(lambda)	0.4034238761646354	0.05	38.43822867279528	0.363313129959108	0.6612582105594343	8.068477523292707	20.0	0.0260157669728353	0.0	-0.4601704485348946	-0.05084080270192742	0.14060173899441614	-0.06572051346913266	0.8524365649972022	0.8524365649972026	0.05356404157137388
19	BDPN(psi)	0.4046055319754733	0.0926218282498601	38.61976005236838	0.228471154933221	0.6590319633690113	4.368360456932401	10.796591029302103	0.0258934804008103	0.002929067615114759	0.0	-0.046358229376638964	0.005759763968529119	-0.06794676065955574	0.0029290676151149343	0.0	0.048611785687966945
20	BDPN(psi)	0.5991061926839846	0.1606151221427594	13.366174956935351	0.7422011096375449	0.1820186403603624	3.7300733871838143	6.226063814285002	0.0748157197718803	-0.027706711983213624	0.0	0.2654563510212047	0.10048073874392094	-0.015417539949336506	-0.02770671198321359	0.0	-0.20977124245098291
20	BDPN(p)	0.6263823317949966	0.1572661732605864	12.908948067401065	0.641720370893624	0.1819637114849517	3.982943813079849	6.358646486190153	0.0774656459053621	0.01655990936789978	-0.02085076945118747	0.22216792534347457	0.0	-0.015472468824747204	0.038207331070584556	0.021294782042059264	-0.18178183270603981
20	BDPN(lambda)	0.6161784721418762	0.1163318732494309	12.41573535399749	0.9	0.1908205869763295	5.296729562849106	8.59609642712335	0.0805429538797337	0.0	-0.27571033351372887	0.17547250480679327	0.25827962910637603	-0.006615593333369391	0.38066307759335444	0.3806630775933543	-0.14927827243023076
21	BDPN(psi)	0.4836295446663797	0.1027579377927116	23.504810011059792	0.1567917980976716	0.4924150791282516	4.706493289520669	9.73160829694003	0.0425444834282628	0.010568139861850297	0.0	0.03668548322603027	-0.0028033126362579097	-0.04377016261920558	0.010568139861850085	0.0	-0.035387283626149395
21	BDPN(p)	0.4851513385906676	0.0863303380160679	23.37688443967257	0.1595951107339295	0.493009998895512	5.619708549042985	11.583413467162355	0.0427773000538478	0.013748004434395328	-0.159866966285196	0.031043294128218882	0.0	-0.043175242851945184	0.20665176079545441	0.19028768048592754	-0.030108623279944596
21	BDPN(lambda)	0.4785719295806161	0.0576782772223425	23.32812065556813	0.2390234473066906	0.4950798040008156	8.297264631115477	17.33754973549444	0.0428667193026246	-1.1599332890231058e-16	-0.4386975988298444	0.02889255531924949	0.07942833657276108	-0.041105437746641604	0.7815708571979818	0.7815708571979819	-0.028081217197928426
22	BDPN(lambda)	0.5830847115206723	0.068200429267518	11.82319395275522	0.9	0.3997032290261819	8.549575388059601	14.66266430783701	0.084579514130948	0.0	-0.4228861554506287	-0.026425455043736844	0.3388199913168277	-0.04510023229374821	0.732760372055934	0.7327603720559343	0.02714271360178493
22	BDPN(psi)	0.5484763422770107	0.118175001191959	12.097672571889854	0.6849779250823755	0.3951049978345767	4.6412213813823975	8.46202657003267	0.0826605278046291	-0.05935393015777028	0.0	-0.0038236608253521074	0.12379791639920323	-0.049698463485353395	-0.05935393015777036	0.0	0.0038383373254178895
22	BDPN(p)	0.5843986400433563	0.105052519440903	11.858475991131096	0.5611800086831723	0.3928437232677151	5.5629188443415485	9.519048237225258	0.0843278681634887	0.0022534093189603174	-0.11104278924220476	-0.023520174576023838	0.0	-0.05195973805221499	0.1274484274272161	0.12491353678041064	0.02408669791596632
23	BDPN(lambda)	0.784731311251731	0.1677735047565659	24.85560099150417	0.3900083367699178	0.0346992310893204	4.677325614615676	5.960416702571531	0.0402323806349243	0.0	0.0064429260705206005	0.7260413688453558	0.010036535556001092	0.0011237395691221022	-0.006401680516227376	-0.006401680516227384	-0.42063961035363095
23	BDPN(psi)	0.7802081028038251	0.1666994723800266	24.9418904125853	0.3968781064159148	0.0346595139538534	4.680327367954567	5.998819226735695	0.0400931919537027	-0.005764021879910558	0.0	0.732033543829604	0.016906305201998095	0.0010840224336551019	-0.005764021879910253	0.0	-0.42264397617325905
